,number,value,datetime_start,datetime_complete,duration,params_1D_featurizer,params_1d_model,params_2d_model,params_C_linear_svr,params_C_nu_svr,params_C_passive_aggressive_regressor,params_C_svr,params_activation_mlp_regressor,params_algorithm_kneighbors_regressor,params_algorithm_radius_neighbors_regressor,params_alpha_1,params_alpha_2,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_huber_regressor,params_alpha_kernel_ridge,params_alpha_lasso,params_alpha_lasso_cv,params_alpha_mlp_regressor,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_cv,params_alpha_ridge_model,params_alpha_sgd_regressor,params_alpha_tweedie_regressor,params_attention_dropout_0,params_attention_dropout_1,params_attention_dropout_2,params_attention_dropout_3,params_attention_key_dim_0,params_attention_key_dim_1,params_attention_key_dim_2,params_attention_key_dim_3,params_base_estimator_bagging_regressor,params_base_estimator_ransac_regressor,params_base_filters,params_batch_normalization_0,params_batch_normalization_1,params_batch_normalization_2,params_batch_normalization_3,params_batch_normalization_4,params_batch_size_deepchem,params_bootstrap_bagging_regressor,params_bootstrap_extra_trees_regressor,params_bootstrap_features,params_bootstrap_random_forest_regressor,params_conv_activation_0,params_conv_activation_1,params_conv_activation_2,params_conv_batch_norm_0,params_conv_batch_norm_1,params_conv_batch_norm_2,params_conv_dropout_0,params_conv_dropout_1,params_conv_dropout_2,params_criterion_extra_trees_regressor,params_criterion_gradient_boosting_regressor,params_criterion_lasso_lars,params_criterion_random_forest_regressor,params_degree_nu_svr,params_degree_svr,params_dense_activation,params_dense_dropout,params_dense_units,params_depth_dmpnn,params_dropout,params_dropout_attentive_fp,params_dropout_dag,params_dropout_pagtn,params_dropout_text_cnn,params_dropouts_dtnn,params_dropouts_weave,params_embedding_dim,params_embedding_output_dim,params_epochs_deepchem,params_epsilon_huber_regressor,params_epsilon_linear_svr,params_epsilon_sgd_regressor,params_f1,params_f2,params_feature_selector,params_featurizer_type,params_filter_0,params_filter_1,params_filter_2,params_filters,params_fnn_dropout_p,params_fnn_layers,params_fpSize,params_g_noise,params_gamma_kernel_ridge,params_gamma_nu_svr,params_gamma_svr,params_graph_feat_size_attentive_fp,params_gru_dropout_0,params_gru_dropout_1,params_gru_dropout_2,params_gru_units_0,params_gru_units_1,params_gru_units_2,params_hidden_activation_0,params_hidden_activation_1,params_hidden_activation_2,params_hidden_activation_3,params_hidden_activation_4,params_hidden_dropout_0,params_hidden_dropout_1,params_hidden_dropout_2,params_hidden_dropout_3,params_hidden_dropout_4,params_hidden_layer_sizes_mlp_regressor,params_hidden_layer_units_0,params_hidden_layer_units_1,params_hidden_layer_units_2,params_hidden_layer_units_3,params_hidden_layer_units_4,params_k,params_kernel_nu_svr,params_kernel_ridge,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_kernel_size_smiles_to_vec,params_kernel_svr,params_l1_0,params_l1_1,params_l1_2,params_l1_3,params_l1_4,params_l1_ratio_elastic_net,params_l1_ratio_sgd_regressor,params_l2_0,params_l2_1,params_l2_2,params_l2_3,params_l2_4,params_lambda_1_ard_regression,params_lambda_1_bayesian_ridge,params_lambda_2_ard_regression,params_lambda_2_bayesian_ridge,params_layer_sizes_dag,params_layer_sizes_gather,params_leaf_size_kneighbors_regressor,params_leaf_size_radius_neighbors_regressor,params_learning_rate_ada_boost_regressor,params_learning_rate_gradient_boosting_regressor,params_learning_rate_hist_gradient_boosting_regressor,params_loss_ada_boost_regressor,params_loss_gradient_boosting_regressor,params_loss_hist_gradient_boosting_regressor,params_lstm_dropout_0,params_lstm_dropout_1,params_lstm_dropout_2,params_lstm_units_0,params_lstm_units_1,params_lstm_units_2,params_maxLength,params_maxPath,params_max_features_extra_trees_regressor,params_max_features_gradient_boosting_regressor,params_max_features_random_forest_regressor,params_max_length_pagtn,params_max_path,params_minLength,params_minPath,params_min_path,params_min_samples,params_model_steps,params_model_type,params_nBits,params_n_attention_heads,params_n_attention_layers,params_n_bits,params_n_components,params_n_conv_layers,params_n_embedding_dtnn,params_n_embedding_text_cnn,params_n_estimators,params_n_estimators_ada_boost_regressor,params_n_estimators_bagging_regressor,params_n_estimators_extra_trees_regressor,params_n_estimators_gradient_boosting_regressor,params_n_estimators_random_forest_regressor,params_n_graph_feat_dag,params_n_graph_feat_weave,params_n_gru_layers,params_n_hidden_dtnn,params_n_hidden_layers,params_n_hidden_weave,params_n_lstm_layers,params_n_neighbors_kneighbors_regressor,params_n_quantiles,params_n_rnn_layers,params_nu_nu_svr,params_num_heads,params_num_layers_attentive_fp,params_num_layers_pagtn,params_output_distribution,params_p,params_penalty,params_percentile,params_power_tweedie_regressor,params_quantile,params_radius,params_radius_n_radius_neighbors_regressor,params_regression_model,params_rnn_dropouts_0,params_rnn_dropouts_1,params_rnn_dropouts_2,params_rnn_units_0,params_rnn_units_1,params_rnn_units_2,params_scale,params_scaler,params_standardization_type,params_standardizer,params_stride_0,params_stride_1,params_stride_2,params_strides,params_support_weak,params_threshold,params_threshold_lambda,params_use_chirality_attentive_fp,params_use_chirality_gat,params_use_chirality_weave,params_use_edges_gat,params_use_partial_charge_attentive_fp,params_use_partial_charge_gat,params_weight_gbr,params_weight_lr,params_weight_mlp,params_weight_rfr,params_weight_svr,params_weights_kneighbors_regressor,params_weights_radius_neighbors_regressor,params_with_mean,params_with_std,state
23,23,0.883657346765722,2024-01-19 11:09:47.781646,2024-01-19 11:31:58.228419,0 days 00:22:10.446773,layered,,,,,,,,,,,,,,,,,,,,,,,,,0.396452670724858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8223199829654738,,,boruta_algorithm,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8077683578927182,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,2.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,sgd_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,True,,,,,,,,,,,,,,,,,,COMPLETE
24,24,inf,2024-01-19 11:31:58.267742,2024-01-19 11:32:45.717506,0 days 00:00:47.449764,2d_descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911749062482555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_variance_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5499519439518537,,,,tweedie_regressor_model,,,,,,,,min_max_scaler,,pass_through_standardizer,,,,,,0.0027948526029235587,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.9900100348384449,2024-01-19 11:32:45.799986,2024-01-19 11:58:15.499224,0 days 00:25:29.699238,mol2vec,,,,,,,,,,,,,,,,,,,,,,,4.674130199490923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_from_model_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ridge_cv_model,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.913182027092434,2024-01-19 11:58:15.546898,2024-01-19 12:14:48.834831,0 days 00:16:33.287933,atom_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k_best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,1.0,,,,,sklearn,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lasso_lars_cv_model,,,,,,,,,heavy_standardisation,custom_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.6782568605442174,2024-01-19 12:14:48.879232,2024-01-19 12:28:37.064896,0 days 00:13:48.185664,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,absolute_error,,,,,,,,,,,,,,,,,,,,maccs,2d_descriptors,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log2,,,,,,,,sklearn,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,85.0,,,,,random_forest_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,inf,2024-01-19 12:28:37.081358,2024-01-19 12:28:37.270354,0 days 00:00:00.188996,mixed,keras_tabular_transformer,,,,,,,,,,,,,,,,,,,,,,,,,,0.20791830731432245,0.23938045615529518,0.3852967574435107,0.025145351537255334,16.0,16.0,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relu,0.4869881272072079,8.0,,,,,,,,,,8.0,,,,,maccs,2d_descriptors,,1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,inf,2024-01-19 12:28:37.285098,2024-01-19 12:40:50.262913,0 days 00:12:12.977815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_cnn_model,deepchem,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,inf,2024-01-19 12:40:50.283795,2024-01-19 15:40:50.299632,0 days 03:00:00.015837,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atom_pair,atom_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8243535578231287,2024-01-19 15:40:50.327984,2024-01-19 15:54:32.690551,0 days 00:13:42.362567,rdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,absolute_error,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log2,,5.0,,,3.0,,,sklearn,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,82.0,,,,,random_forest_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.7130622431740911,2024-01-19 15:54:32.723948,2024-01-19 16:05:42.803682,0 days 00:11:10.079734,maccs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,voting_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,0.7129960993324521,0.038129633604490766,0.3095555273216363,0.8050942272803525,0.5920467543950838,,,,,COMPLETE
33,33,0.8430323169521585,2024-01-19 16:05:42.822214,2024-01-19 16:10:45.238062,0 days 00:05:02.415848,maccs,,,4.5643412672717005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2878272398766709,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,linear_svr_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,inf,2024-01-19 16:10:45.256541,2024-01-19 16:10:45.382851,0 days 00:00:00.126310,maccs,keras_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1D,,,,,,,,,,,,,,,,,,,tanh,,,,,0.6753362312197149,,,,,,48.0,,,,,,,,,,,,,1.0654221307721985e-06,,,,,,,3.0777437709759876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.81990612601643,2024-01-19 16:10:45.397155,2024-01-19 16:17:05.848413,0 days 00:06:20.451258,morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,1024.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,2.0,,pls_regression_model,,,,,,,True,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.7993943617213399,2024-01-19 16:17:05.876637,2024-01-19 16:26:27.941902,0 days 00:09:22.065265,maccs,,,,,,,,brute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,2.0,,77.0,,,,,kneighbors_regressor_model,,,,,,,,,heavy_standardisation,custom_standardizer,,,,,,,,,,,,,,,,,,,distance,,,,COMPLETE
37,37,inf,2024-01-19 16:26:27.967221,2024-01-19 19:26:28.239180,0 days 03:00:00.271959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weave_model,deepchem,,,,,,,,,,,,,,,,128.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,basic_standardizer,,,,,,,,,,False,,,,,,,,,,,,,COMPLETE
38,38,inf,2024-01-19 19:26:28.260443,2024-01-19 22:27:46.763528,0 days 03:01:18.503085,mixed,,,,,,,,,,,,,,,,,,,,,,0.283751884330832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,layered,mol2vec,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,0.39141424286646853,,,quantile_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,inf,2024-01-19 22:27:47.050331,2024-01-19 22:27:47.418766,0 days 00:00:00.368435,maccs,keras_tabular_transformer,,,,,,,,,,,,,,,,,,,,,,,,,,0.47602514166115895,0.49846623512536414,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relu,0.2715134029288175,8.0,,,,,,,,,,64.0,,,,,,,,1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,inf,2024-01-19 22:27:47.455776,2024-01-20 01:27:47.667418,0 days 03:00:00.211642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chem_ception_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.7726908657841528,2024-01-20 01:27:47.694253,2024-01-20 02:15:29.587608,0 days 00:47:41.893355,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boruta_algorithm,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,3.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voting_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,True,,,,,,,,,0.6928500935018169,0.017311067059382748,0.1527561410443552,0.9315715610304527,0.47355265651562556,,,,,COMPLETE
42,42,0.8319433869192172,2024-01-20 02:15:29.645039,2024-01-20 02:25:02.103292,0 days 00:09:32.458253,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,3.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,voting_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,0.8807043929718417,0.001338922355486799,0.32924441144053124,0.7340535209563284,0.4401242579855339,,,,,COMPLETE
43,43,0.9406855261362665,2024-01-20 02:25:02.118425,2024-01-20 02:41:30.538755,0 days 00:16:28.420330,atom_pair,,,,,,,,,,,,,,,,0.5557333011432875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9769004196733764,,,,,boruta_algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,3.0,,,,,sklearn,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huber_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,False,,,,,,,,,,,,,,,,,,COMPLETE
44,44,1.0086134054865155,2024-01-20 02:41:30.552845,2024-01-20 02:54:06.478238,0 days 00:12:35.925393,mixed,,,,,,,tanh,,,,,,,,,,,,,3.361429859256812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mol2vec,2d_descriptors,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(50,)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,mlp_regressor_model,,,,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.8163773951812745,2024-01-20 02:54:06.510202,2024-01-20 03:07:19.366492,0 days 00:13:12.856290,2d_descriptors,,,,,,1.1466890184702163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,boruta_algorithm,,,,,,,,,,,,0.22518180181548264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,svr_model,,,,,,,,binarizer,simple_standardisation,custom_standardizer,,,,,True,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.7577927077585995,2024-01-20 03:07:19.380234,2024-01-20 03:45:51.347310,0 days 00:38:31.967076,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,2.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,stacking_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,inf,2024-01-20 03:45:51.366312,2024-01-20 03:46:23.215790,0 days 00:00:31.849478,,,keras_bidirectional_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relu,0.024136077911931286,96.0,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,0.0020687230340122875,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05533294476037581,0.021170553206331932,0.3788864213309542,243.0,29.0,158.0,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.818923468880994,2024-01-20 03:46:23.238899,2024-01-20 04:02:02.734309,0 days 00:15:39.495410,maccs,,,,,,,,,,,,,,,,,,,,,,,,1.2676845315515584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,ridge_model,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.9804867950394154,2024-01-20 04:02:02.749166,2024-01-20 04:47:07.923748,0 days 00:45:05.174582,mol2vec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,stacking_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.9794857792592158,2024-01-20 04:47:07.937266,2024-01-20 04:57:32.250386,0 days 00:10:24.313120,layered,,,,4.275668089052704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,2048.0,,,0.15669393031444068,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,2.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,0.7370786828823498,,,,,,,70.0,,,,,nu_svr_model,,,,,,,,,heavy_standardisation,custom_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.7913565579992098,2024-01-20 04:57:32.265052,2024-01-20 05:41:03.678703,0 days 00:43:31.413651,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,squared_error,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,auto,,,,,,2.0,,,,sklearn,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,88.0,,,,,extra_trees_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8333181937842141,2024-01-20 05:41:03.692885,2024-01-20 05:46:00.580444,0 days 00:04:56.887559,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_variance_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ortogonal_matching_pursuit_model,,,,,,,,,,pass_through_standardizer,,,,,,0.14749342147079708,,,,,,,,,,,,,,,,,COMPLETE
53,53,inf,2024-01-20 05:46:00.594549,2024-01-20 05:48:44.272590,0 days 00:02:43.678041,layered,,,,,,,,,,,,,,,,,,,,,0.35754270466063764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_from_model_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,3.0,,,,sklearn,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,poisson_regressor_model,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
